AIRPORT_NAME,STATE,COUNTRY,MONTH_x,AIRPORT_SPIKE,COVID_MONTH,COVID_SPIKE
"Daytona Beach, FL: Daytona Beach International",FLORIDA,USA,2019-12,89,2020-01,0.0
"Denver, CO: Denver International",COLORADO,USA,2019-12,277190,2020-01,0.0
"Des Moines, IA: Des Moines International",IOWA,USA,2019-12,0,2020-01,0.0
"Detroit, MI: Detroit Metro Wayne County",MICHIGAN,USA,2019-12,296789,2020-01,0.0
"Duluth, MN: Duluth International",MINNESOTA,USA,2019-12,0,2020-01,0.0
"El Paso, TX: El Paso International",TEXAS,USA,2019-12,0,2020-01,0.0
"Erie, PA: Erie International/Tom Ridge Field",PENNSYLVANIA,USA,2019-12,0,2020-01,0.0
"Everett, WA: Snohomish County",WASHINGTON,USA,2019-12,15,2020-01,0.0
"Fargo, ND: Hector International",NORTH DAKOTA,USA,2019-12,100,2020-01,0.0
"Flint, MI: Bishop International",MICHIGAN,USA,2019-12,0,2020-01,0.0
"Fort Lauderdale, FL: Fort Lauderdale Executive",FLORIDA,USA,2019-12,1043,2020-01,0.0
"Fort Myers, FL: Southwest Florida International",FLORIDA,USA,2019-12,46792,2020-01,0.0
"Fort Smith, AR: Fort Smith Regional",ARKANSAS,USA,2019-12,0,2020-01,0.0
"Fresno, CA: Fresno Yosemite International",CALIFORNIA,USA,2019-12,29734,2020-01,341.0
"Gary, IN: Gary/Chicago International",INDIANA,USA,2019-12,0,2020-01,0.0
"Grand Forks, ND: Grand Forks International",NORTH DAKOTA,USA,2019-12,0,2020-01,0.0
"Grand Junction, CO: Grand Junction Regional",COLORADO,USA,2019-12,0,2020-01,0.0
"Grand Rapids, MI: Gerald R. Ford International",MICHIGAN,USA,2019-12,0,2020-01,0.0
"Great Falls, MT: Great Falls International",MONTANA,USA,2019-12,0,2020-01,0.0
"Green Bay, WI: Green Bay Austin Straubel International",WISCONSIN,USA,2019-12,0,2020-01,0.0
"Harlingen/San Benito, TX: Valley International",TEXAS,USA,2019-12,0,2020-01,0.0
"Harrisburg, PA: Harrisburg International",PENNSYLVANIA,USA,2019-12,0,2020-01,0.0
"Hayden, CO: Yampa Valley",COLORADO,USA,2019-12,0,2020-01,0.0
"Hays, KS: Hays Regional",KANSAS,USA,2019-12,0,2020-01,0.0
"Houston, TX: George Bush Intercontinental/Houston",TEXAS,USA,2019-12,1019671,2020-01,0.0
"Huntsville, AL: Huntsville International-Carl T Jones Field",ALABAMA,USA,2019-12,0,2020-01,0.0
"Idaho Falls, ID: Idaho Falls Regional",IDAHO,USA,2019-12,133,2020-01,0.0
"Indianapolis, IN: Indianapolis International",INDIANA,USA,2019-12,11414,2020-01,0.0
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",MISSISSIPPI,USA,2019-12,0,2020-01,0.0
"Jacksonville, FL: Jacksonville International",FLORIDA,USA,2019-12,0,2020-01,0.0
"Kalamazoo, MI: Kalamazoo/Battle Creek International",MICHIGAN,USA,2019-12,0,2020-01,0.0
"Kalispell, MT: Glacier Park International",MONTANA,USA,2019-12,0,2020-01,0.0
"Kanab, UT: Kanab Municipal",UTAH,USA,2019-12,0,2020-01,0.0
"Kansas City, MO: Kansas City International",MISSOURI,USA,2019-12,2370,2020-01,0.0
"Killeen, TX: Robert Gray AAF",TEXAS,USA,2019-12,0,2020-01,0.0
"Knoxville, TN: McGhee Tyson",TENNESSEE,USA,2019-12,0,2020-01,0.0
"Lafayette, IN: Purdue University",INDIANA,USA,2019-12,0,2020-01,0.0
"Lake Charles, LA: Lake Charles Regional",LOUISIANA,USA,2019-12,0,2020-01,0.0
"Laredo, TX: Laredo International",TEXAS,USA,2019-12,0,2020-01,0.0
"Las Vegas, NV: Harry Reid International",NEVADA,USA,2019-12,268957,2020-01,0.0
"Lexington, KY: Blue Grass",KENTUCKY,USA,2019-12,0,2020-01,0.0
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",ARKANSAS,USA,2019-12,0,2020-01,0.0
"Longview, TX: East Texas Regional",TEXAS,USA,2019-12,0,2020-01,0.0
"Los Angeles, CA: Los Angeles International",CALIFORNIA,USA,2019-12,2071794,2020-01,3943.0
"Louisville, KY: Louisville Muhammad Ali International",KENTUCKY,USA,2019-12,0,2020-01,0.0
"Lubbock, TX: Lubbock Preston Smith International",TEXAS,USA,2019-12,0,2020-01,0.0
"Madison, WI: Dane County Regional-Truax Field",WISCONSIN,USA,2019-12,0,2020-01,0.0
"Manchester, NH: Manchester Boston Regional",NEW HAMPSHIRE,USA,2019-12,0,2020-01,0.0
"Marietta, GA: Dobbins ARB",GEORGIA,USA,2019-12,0,2020-01,0.0
"Melbourne, FL: Melbourne Orlando International",FLORIDA,USA,2019-12,0,2020-01,0.0
"Memphis, TN: Memphis International",TENNESSEE,USA,2019-12,2083,2020-01,0.0
"Miami, FL: Miami International",FLORIDA,USA,2019-12,1963603,2020-01,0.0
"Midland/Odessa, TX: Midland International Air and Space Port",TEXAS,USA,2019-12,0,2020-01,0.0
"Milwaukee, WI: General Mitchell International",WISCONSIN,USA,2019-12,3700,2020-01,0.0
"Minneapolis, MN: Minneapolis-St Paul International",MINNESOTA,USA,2019-12,257425,2020-01,0.0
"Minot, ND: Minot International",NORTH DAKOTA,USA,2019-12,0,2020-01,0.0
"Mission/McAllen/Edinburg, TX: McAllen Miller International",TEXAS,USA,2019-12,232,2020-01,0.0
"Mobile, AL: Mobile Regional",ALABAMA,USA,2019-12,0,2020-01,0.0
"Moline, IL: Quad Cities International",ILLINOIS,USA,2019-12,0,2020-01,0.0
"Montgomery, AL: Montgomery Regional",ALABAMA,USA,2019-12,0,2020-01,0.0
"Myrtle Beach, SC: Myrtle Beach International",SOUTH CAROLINA,USA,2019-12,0,2020-01,0.0
"Nashville, TN: Nashville International",TENNESSEE,USA,2019-12,19100,2020-01,0.0
"New Orleans, LA: Louis Armstrong New Orleans International",LOUISIANA,USA,2019-12,18994,2020-01,0.0
"New York, NY: John F. Kennedy International",NEW YORK,USA,2019-12,2753378,2020-01,0.0
"Newark, NJ: Newark Liberty International",NEW JERSEY,USA,2019-12,1165281,2020-01,0.0
"Niagara Falls, NY: Niagara Falls International",NEW YORK,USA,2019-12,0,2020-01,0.0
"Norfolk, VA: Norfolk International",VIRGINIA,USA,2019-12,0,2020-01,0.0
"North Platte, NE: North Platte Regional Airport Lee Bird Field",NEBRASKA,USA,2019-12,0,2020-01,0.0
"Oakland, CA: Metro Oakland International",CALIFORNIA,USA,2019-12,44872,2020-01,327.0
"Oklahoma City, OK: Will Rogers World",OKLAHOMA,USA,2019-12,0,2020-01,0.0
"Omaha, NE: Eppley Airfield",NEBRASKA,USA,2019-12,0,2020-01,0.0
"Ontario, CA: Ontario International",CALIFORNIA,USA,2019-12,29193,2020-01,1426.0
"Orlando, FL: Orlando International",FLORIDA,USA,2019-12,577164,2020-01,0.0
"Palm Springs, CA: Palm Springs International",CALIFORNIA,USA,2019-12,45881,2020-01,0.0
"Pasco/Kennewick/Richland, WA: Tri Cities",WASHINGTON,USA,2019-12,0,2020-01,0.0
"Pensacola, FL: Pensacola International",FLORIDA,USA,2019-12,0,2020-01,0.0
"Peoria, IL: General Downing - Peoria International",ILLINOIS,USA,2019-12,0,2020-01,0.0
"Philadelphia, PA: Philadelphia International",PENNSYLVANIA,USA,2019-12,267155,2020-01,0.0
"Phoenix, AZ: Phoenix Sky Harbor International",ARIZONA,USA,2019-12,194578,2020-01,6.0
"Pittsburgh, PA: Pittsburgh International",PENNSYLVANIA,USA,2019-12,10637,2020-01,0.0
"Portland, ME: Portland International Jetport",MAINE,USA,2019-12,0,2020-01,0.0
"Portland, OR: Portland International",OREGON,USA,2019-12,63019,2020-01,0.0
"Providence, RI: Rhode Island Tf Green International",RHODE ISLAND,USA,2019-12,0,2020-01,0.0
"Provo, UT: Provo Municipal",UTAH,USA,2019-12,0,2020-01,0.0
"Pueblo, CO: Pueblo Memorial",COLORADO,USA,2019-12,0,2020-01,0.0
"Raleigh/Durham, NC: Raleigh-Durham International",NORTH CAROLINA,USA,2019-12,24986,2020-01,0.0
"Rapid City, SD: Rapid City Regional",SOUTH DAKOTA,USA,2019-12,0,2020-01,0.0
"Reno, NV: Reno/Tahoe International",NEVADA,USA,2019-12,5625,2020-01,41.0
"Richmond, VA: Richmond International",VIRGINIA,USA,2019-12,0,2020-01,0.0
"Rochester, MN: Rochester International",MINNESOTA,USA,2019-12,0,2020-01,0.0
"Rochester, NY: Frederick Douglass Grtr Rochester International",NEW YORK,USA,2019-12,0,2020-01,0.0
"Rockford, IL: Chicago/Rockford International",ILLINOIS,USA,2019-12,0,2020-01,0.0
"Sacramento, CA: Sacramento International",CALIFORNIA,USA,2019-12,33505,2020-01,329.0
"Salt Lake City, UT: Salt Lake City International",UTAH,USA,2019-12,71988,2020-01,0.0
"San Angelo, TX: San Angelo Regional/Mathis Field",TEXAS,USA,2019-12,52,2020-01,0.0
"San Antonio, TX: San Antonio International",TEXAS,USA,2019-12,44939,2020-01,0.0
"San Diego, CA: San Diego International",CALIFORNIA,USA,2019-12,86969,2020-01,0.0
"San Francisco, CA: San Francisco International",CALIFORNIA,USA,2019-12,1229966,2020-01,217.0
"San Jose, CA: Norman Y. Mineta San Jose International",CALIFORNIA,USA,2019-12,80056,2020-01,490.0
"Sanford, FL: Orlando Sanford International",FLORIDA,USA,2019-12,2779,2020-01,0.0
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",FLORIDA,USA,2019-12,6766,2020-01,0.0
"Savannah, GA: Savannah/Hilton Head International",GEORGIA,USA,2019-12,0,2020-01,0.0
"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",NEBRASKA,USA,2019-12,0,2020-01,0.0
"Seattle, WA: Lake Union Terminal",WASHINGTON,USA,2019-12,1260,2020-01,10.0
"Shreveport, LA: Shreveport Regional",LOUISIANA,USA,2019-12,0,2020-01,0.0
"Sioux Falls, SD: Joe Foss Field",SOUTH DAKOTA,USA,2019-12,0,2020-01,0.0
"South Bend, IN: South Bend International",INDIANA,USA,2019-12,0,2020-01,0.0
"Spokane, WA: Spokane International",WASHINGTON,USA,2019-12,0,2020-01,0.0
"St. Louis, MO: St Louis Lambert International",MISSOURI,USA,2019-12,20361,2020-01,0.0
"St. Petersburg, FL: St Pete Clearwater International",FLORIDA,USA,2019-12,1564,2020-01,0.0
"Syracuse, NY: Syracuse Hancock International",NEW YORK,USA,2019-12,48,2020-01,0.0
"Tallahassee, FL: Tallahassee International",FLORIDA,USA,2019-12,0,2020-01,0.0
"Tampa, FL: Tampa International",FLORIDA,USA,2019-12,106275,2020-01,0.0
"Toledo, OH: Eugene F Kranz Toledo Express",OHIO,USA,2019-12,0,2020-01,0.0
"Tucson, AZ: Tucson International",ARIZONA,USA,2019-12,295,2020-01,0.0
"Tullahoma, TN: Arnold AFB",TENNESSEE,USA,2019-12,0,2020-01,0.0
"Tulsa, OK: Tulsa International",OKLAHOMA,USA,2019-12,0,2020-01,0.0
"Twin Falls, ID: Joslin Field - Magic Valley Regional",IDAHO,USA,2019-12,0,2020-01,0.0
"Waco, TX: Waco Regional",TEXAS,USA,2019-12,0,2020-01,0.0
"Washington, DC: Ronald Reagan Washington National",DISTRICT OF COLUMBIA,USA,2019-12,27584,2020-01,0.0
"West Palm Beach/Palm Beach, FL: Palm Beach International",FLORIDA,USA,2019-12,17300,2020-01,0.0
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",TEXAS,USA,2019-12,0,2020-01,0.0
"Wichita, KS: Wichita Dwight D Eisenhower National",KANSAS,USA,2019-12,0,2020-01,0.0
"Wilmington, NC: Wilmington International",NORTH CAROLINA,USA,2019-12,0,2020-01,0.0
"Yakima, WA: Yakima Air Terminal/McAllister Field",WASHINGTON,USA,2019-12,0,2020-01,0.0
"Yuma, AZ: Yuma MCAS/Yuma International",ARIZONA,USA,2019-12,0,2020-01,50.0
"Abilene, TX: Abilene Regional",TEXAS,USA,2020-01,0,2020-02,0.0
"Akron, OH: Akron-Canton Regional",OHIO,USA,2020-01,0,2020-02,0.0
"Albany, NY: Albany International",NEW YORK,USA,2020-01,43,2020-02,0.0
"Albuquerque, NM: Albuquerque International Sunport",NEW MEXICO,USA,2020-01,0,2020-02,0.0
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",PENNSYLVANIA,USA,2020-01,0,2020-02,0.0
"Amarillo, TX: Rick Husband Amarillo International",TEXAS,USA,2020-01,75,2020-02,0.0
"Atlanta, GA: Hartsfield-Jackson Atlanta International",GEORGIA,USA,2020-01,965460,2020-02,0.0
"Atlantic City, NJ: Atlantic City International",NEW JERSEY,USA,2020-01,274,2020-02,0.0
"Augusta, GA: Augusta Regional at Bush Field",GEORGIA,USA,2020-01,0,2020-02,0.0
"Austin, TX: Austin - Bergstrom International",TEXAS,USA,2020-01,30408,2020-02,0.0
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",MARYLAND,USA,2020-01,88577,2020-02,0.0
"Bangor, ME: Bangor International",MAINE,USA,2020-01,480,2020-02,0.0
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",LOUISIANA,USA,2020-01,0,2020-02,0.0
"Bellingham, WA: Bellingham International",WASHINGTON,USA,2020-01,0,2020-02,0.0
"Bend/Redmond, OR: Roberts Field",OREGON,USA,2020-01,0,2020-02,0.0
"Billings, MT: Billings Logan International",MONTANA,USA,2020-01,0,2020-02,0.0
"Birmingham, AL: Birmingham-Shuttlesworth International",ALABAMA,USA,2020-01,328,2020-02,0.0
"Bismarck/Mandan, ND: Bismarck Municipal",NORTH DAKOTA,USA,2020-01,0,2020-02,0.0
"Boise, ID: Boise Air Terminal",IDAHO,USA,2020-01,0,2020-02,0.0
"Boston, MA: Logan International",MASSACHUSETTS,USA,2020-01,532334,2020-02,29.0
"Bozeman, MT: Bozeman Yellowstone International",MONTANA,USA,2020-01,125,2020-02,0.0
"Bristol/Johnson City/Kingsport, TN: Tri Cities",TENNESSEE,USA,2020-01,0,2020-02,0.0
"Brownsville, TX: Brownsville South Padre Island International",TEXAS,USA,2020-01,0,2020-02,0.0
"Buffalo, NY: Buffalo Niagara International",NEW YORK,USA,2020-01,0,2020-02,0.0
"Burbank, CA: Bob Hope",CALIFORNIA,USA,2020-01,0,2020-02,55.0
"Burlington, VT: Burlington International",VERMONT,USA,2020-01,0,2020-02,0.0
"Camp Springs, MD: Joint Base Andrews",MARYLAND,USA,2020-01,72,2020-02,0.0
"Casper, WY: Casper/Natrona County International",WYOMING,USA,2020-01,0,2020-02,0.0
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",IOWA,USA,2020-01,0,2020-02,0.0
"Charleston, SC: Charleston AFB/International",SOUTH CAROLINA,USA,2020-01,0,2020-02,0.0
"Charlotte, NC: Charlotte Douglas International",NORTH CAROLINA,USA,2020-01,273538,2020-02,0.0
"Chattanooga, TN: Lovell Field",TENNESSEE,USA,2020-01,0,2020-02,0.0
"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",WYOMING,USA,2020-01,0,2020-02,0.0
"Chicago, IL: Chicago Midway International",ILLINOIS,USA,2020-01,49682,2020-02,58.0
"Cincinnati, OH: Cincinnati/Northern Kentucky International",OHIO,USA,2020-01,16005,2020-02,0.0
"Cleveland, OH: Cleveland-Hopkins International",OHIO,USA,2020-01,12134,2020-02,0.0
"College Station/Bryan, TX: Easterwood Field",TEXAS,USA,2020-01,0,2020-02,0.0
"Colorado Springs, CO: City of Colorado Springs Municipal",COLORADO,USA,2020-01,0,2020-02,0.0
"Columbia, SC: Columbia Metropolitan",SOUTH CAROLINA,USA,2020-01,0,2020-02,0.0
"Columbus, GA: Columbus Airport",GEORGIA,USA,2020-01,0,2020-02,0.0
"Columbus, OH: John Glenn Columbus International",OHIO,USA,2020-01,5713,2020-02,0.0
"Corpus Christi, TX: Corpus Christi International",TEXAS,USA,2020-01,42,2020-02,0.0
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",TEXAS,USA,2020-01,712651,2020-02,0.0
"Dayton, OH: James M Cox/Dayton International",OHIO,USA,2020-01,0,2020-02,0.0
"Daytona Beach, FL: Daytona Beach International",FLORIDA,USA,2020-01,189,2020-02,0.0
"Denver, CO: Denver International",COLORADO,USA,2020-01,268283,2020-02,0.0
"Des Moines, IA: Des Moines International",IOWA,USA,2020-01,0,2020-02,0.0
"Detroit, MI: Detroit Metro Wayne County",MICHIGAN,USA,2020-01,276983,2020-02,0.0
"Duluth, MN: Duluth International",MINNESOTA,USA,2020-01,0,2020-02,0.0
"El Paso, TX: El Paso International",TEXAS,USA,2020-01,0,2020-02,0.0
"Erie, PA: Erie International/Tom Ridge Field",PENNSYLVANIA,USA,2020-01,0,2020-02,0.0
"Everett, WA: Snohomish County",WASHINGTON,USA,2020-01,0,2020-02,1.0
"Fargo, ND: Hector International",NORTH DAKOTA,USA,2020-01,0,2020-02,0.0
"Flint, MI: Bishop International",MICHIGAN,USA,2020-01,0,2020-02,0.0
"Fort Lauderdale, FL: Fort Lauderdale Executive",FLORIDA,USA,2020-01,1211,2020-02,0.0
"Fort Myers, FL: Southwest Florida International",FLORIDA,USA,2020-01,46691,2020-02,0.0
"Fort Smith, AR: Fort Smith Regional",ARKANSAS,USA,2020-01,0,2020-02,0.0
"Fresno, CA: Fresno Yosemite International",CALIFORNIA,USA,2020-01,29706,2020-02,129.0
"Gary, IN: Gary/Chicago International",INDIANA,USA,2020-01,0,2020-02,0.0
"Grand Forks, ND: Grand Forks International",NORTH DAKOTA,USA,2020-01,0,2020-02,0.0
"Grand Junction, CO: Grand Junction Regional",COLORADO,USA,2020-01,140,2020-02,0.0
"Grand Rapids, MI: Gerald R. Ford International",MICHIGAN,USA,2020-01,0,2020-02,0.0
"Great Falls, MT: Great Falls International",MONTANA,USA,2020-01,0,2020-02,0.0
"Green Bay, WI: Green Bay Austin Straubel International",WISCONSIN,USA,2020-01,0,2020-02,0.0
"Harlingen/San Benito, TX: Valley International",TEXAS,USA,2020-01,0,2020-02,0.0
"Harrisburg, PA: Harrisburg International",PENNSYLVANIA,USA,2020-01,0,2020-02,0.0
"Hayden, CO: Yampa Valley",COLORADO,USA,2020-01,0,2020-02,0.0
"Hays, KS: Hays Regional",KANSAS,USA,2020-01,0,2020-02,0.0
"Houston, TX: George Bush Intercontinental/Houston",TEXAS,USA,2020-01,936619,2020-02,0.0
"Huntsville, AL: Huntsville International-Carl T Jones Field",ALABAMA,USA,2020-01,74,2020-02,0.0
"Idaho Falls, ID: Idaho Falls Regional",IDAHO,USA,2020-01,0,2020-02,0.0
"Indianapolis, IN: Indianapolis International",INDIANA,USA,2020-01,13694,2020-02,0.0
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",MISSISSIPPI,USA,2020-01,0,2020-02,0.0
"Jacksonville, FL: Jacksonville International",FLORIDA,USA,2020-01,0,2020-02,0.0
"Kalamazoo, MI: Kalamazoo/Battle Creek International",MICHIGAN,USA,2020-01,0,2020-02,0.0
"Kalispell, MT: Glacier Park International",MONTANA,USA,2020-01,0,2020-02,0.0
"Kanab, UT: Kanab Municipal",UTAH,USA,2020-01,0,2020-02,0.0
"Kansas City, MO: Kansas City International",MISSOURI,USA,2020-01,5552,2020-02,0.0
"Killeen, TX: Robert Gray AAF",TEXAS,USA,2020-01,60,2020-02,0.0
"Knoxville, TN: McGhee Tyson",TENNESSEE,USA,2020-01,0,2020-02,0.0
"Lafayette, IN: Purdue University",INDIANA,USA,2020-01,0,2020-02,0.0
"Lake Charles, LA: Lake Charles Regional",LOUISIANA,USA,2020-01,0,2020-02,0.0
"Laredo, TX: Laredo International",TEXAS,USA,2020-01,215,2020-02,0.0
"Las Vegas, NV: Harry Reid International",NEVADA,USA,2020-01,294766,2020-02,0.0
"Lexington, KY: Blue Grass",KENTUCKY,USA,2020-01,0,2020-02,0.0
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",ARKANSAS,USA,2020-01,0,2020-02,0.0
"Longview, TX: East Texas Regional",TEXAS,USA,2020-01,0,2020-02,0.0
"Los Angeles, CA: Los Angeles International",CALIFORNIA,USA,2020-01,2016696,2020-02,1835.0
"Louisville, KY: Louisville Muhammad Ali International",KENTUCKY,USA,2020-01,0,2020-02,0.0
"Lubbock, TX: Lubbock Preston Smith International",TEXAS,USA,2020-01,0,2020-02,0.0
"Madison, WI: Dane County Regional-Truax Field",WISCONSIN,USA,2020-01,0,2020-02,25.0
"Manchester, NH: Manchester Boston Regional",NEW HAMPSHIRE,USA,2020-01,0,2020-02,0.0
"Marietta, GA: Dobbins ARB",GEORGIA,USA,2020-01,0,2020-02,0.0
"Melbourne, FL: Melbourne Orlando International",FLORIDA,USA,2020-01,0,2020-02,0.0
"Memphis, TN: Memphis International",TENNESSEE,USA,2020-01,1775,2020-02,0.0
"Miami, FL: Miami International",FLORIDA,USA,2020-01,1955098,2020-02,0.0
"Midland/Odessa, TX: Midland International Air and Space Port",TEXAS,USA,2020-01,0,2020-02,0.0
"Milwaukee, WI: General Mitchell International",WISCONSIN,USA,2020-01,3563,2020-02,0.0
"Minneapolis, MN: Minneapolis-St Paul International",MINNESOTA,USA,2020-01,292615,2020-02,0.0
"Minot, ND: Minot International",NORTH DAKOTA,USA,2020-01,0,2020-02,0.0
"Mission/McAllen/Edinburg, TX: McAllen Miller International",TEXAS,USA,2020-01,0,2020-02,0.0
"Mobile, AL: Mobile Regional",ALABAMA,USA,2020-01,0,2020-02,0.0
"Moline, IL: Quad Cities International",ILLINOIS,USA,2020-01,0,2020-02,0.0
"Montgomery, AL: Montgomery Regional",ALABAMA,USA,2020-01,0,2020-02,0.0
"Myrtle Beach, SC: Myrtle Beach International",SOUTH CAROLINA,USA,2020-01,0,2020-02,0.0
"Nashville, TN: Nashville International",TENNESSEE,USA,2020-01,17494,2020-02,0.0
"New Orleans, LA: Louis Armstrong New Orleans International",LOUISIANA,USA,2020-01,20142,2020-02,0.0
"New York, NY: John F. Kennedy International",NEW YORK,USA,2020-01,2520463,2020-02,0.0
"Newark, NJ: Newark Liberty International",NEW JERSEY,USA,2020-01,1073548,2020-02,0.0
"Niagara Falls, NY: Niagara Falls International",NEW YORK,USA,2020-01,0,2020-02,0.0
"Norfolk, VA: Norfolk International",VIRGINIA,USA,2020-01,0,2020-02,0.0
"North Platte, NE: North Platte Regional Airport Lee Bird Field",NEBRASKA,USA,2020-01,0,2020-02,0.0
"Oakland, CA: Metro Oakland International",CALIFORNIA,USA,2020-01,33258,2020-02,486.0
"Oklahoma City, OK: Will Rogers World",OKLAHOMA,USA,2020-01,0,2020-02,0.0
"Omaha, NE: Eppley Airfield",NEBRASKA,USA,2020-01,0,2020-02,0.0
"Ontario, CA: Ontario International",CALIFORNIA,USA,2020-01,30484,2020-02,577.0
"Orlando, FL: Orlando International",FLORIDA,USA,2020-01,565000,2020-02,0.0
"Palm Springs, CA: Palm Springs International",CALIFORNIA,USA,2020-01,53324,2020-02,0.0
"Pasco/Kennewick/Richland, WA: Tri Cities",WASHINGTON,USA,2020-01,0,2020-02,0.0
"Pensacola, FL: Pensacola International",FLORIDA,USA,2020-01,0,2020-02,0.0
"Peoria, IL: General Downing - Peoria International",ILLINOIS,USA,2020-01,0,2020-02,0.0
"Philadelphia, PA: Philadelphia International",PENNSYLVANIA,USA,2020-01,228510,2020-02,0.0
"Phoenix, AZ: Phoenix Sky Harbor International",ARIZONA,USA,2020-01,187874,2020-02,29.0
